,code,date,step,quantity,action,ask_price,bid_price,order_price,reward,cash,BP,IS,status,index
0,000001,20231207,0,278882.94183333335,36,94200.0,94100.0,94162.32,1.0001302917771884,906487653.45922,19.784991871290757,-118092.50088500977,FILLED,19
1,000001,20231207,1,269266.28866666666,42,94200.0,94100.0,94181.16,0.9992696021220153,1812195204.01356,15.481543595428933,543917.9031100273,FILLED,20
2,000001,20231207,2,259649.6355,39,94200.0,94100.0,94171.74,0.999169655172414,2717812165.6950703,13.713904338144939,1296517.1799321175,FILLED,21
3,000001,20231207,3,250032.98233333335,39,94200.0,94100.0,94171.74,0.9991696551724139,3623429127.37658,12.830084709502172,2049116.4567546844,FILLED,22
4,000001,20231207,4,240416.3291666667,21,94000.0,93900.0,93915.4,0.9985699734748005,4528502555.82111,11.100429537090342,3345248.970557213,FILLED,23
5,000001,20231207,5,240416.3291666667,85,93900.0,93800.0,94087.8,-0.0999999999999999,4528502555.82111,11.100429537090342,3345248.970557213,NOT_FILLED,24
6,000001,20231207,6,221183.02283333335,7,93900.0,93800.0,93618.3,1.990450928381963,6332586689.887776,-0.4320600422964473,12000236.820558548,FILLED,25
7,000001,20231207,7,221183.02283333335,56,93900.0,93800.0,93918.78,-0.0999999999999999,6332586689.887776,-0.4320600422964473,12000236.820558548,NOT_FILLED,26
8,000001,20231207,8,201949.7165,52,94000.0,93900.0,94009.4,1.9927722015915121,8138774755.334247,-4.259806242456477,18551293.290755272,FILLED,27
9,000001,20231207,9,201949.7165,96,94000.0,93900.0,94470.0,-0.0999999999999999,8138774755.334247,-4.259806242456477,18551293.290755272,NOT_FILLED,28
10,000001,20231207,10,182716.41016666667,25,94100.0,94000.0,94024.72,1.993099204244031,9945259206.031313,-6.398369594814011,24805964.510356903,FILLED,29
11,000001,20231207,11,173099.757,33,94100.0,94000.0,94052.95,0.9979092838196278,10849733805.483154,-6.067262770602201,26700926.01684761,FILLED,30
12,000001,20231207,12,163483.10383333336,42,94100.0,94000.0,94081.18,0.9982088063660466,11754479883.05389,-5.556693499025009,28324409.40444374,FILLED,31
13,000001,20231207,13,153866.4506666667,0,94100.0,94000.0,93629.5,0.9973474801060996,12658445280.720556,-5.734295737634744,30728572.69610977,FILLED,32
14,000001,20231207,14,144249.79750000004,0,94100.0,94000.0,93629.5,0.9973474801060996,13562410678.387222,-5.888217677764004,33132735.987775803,FILLED,33
15,000001,20231207,15,134633.1443333334,33,94100.0,94000.0,94052.95,0.9979092838196278,14466885277.839064,-5.671772054420964,35027697.49426651,FILLED,34
16,000001,20231207,16,125016.49116666672,33,94100.0,94000.0,94052.95,0.9979092838196277,15371359877.290905,-5.480790622059913,36922659.000759125,FILLED,35
17,000001,20231207,17,115399.83800000005,33,94200.0,94100.0,94152.9,0.9979092838196278,16275834476.742746,-5.3110293488512905,38817620.50725174,FILLED,36
18,000001,20231207,18,105783.18483333338,33,94200.0,94100.0,94152.9,0.9989697612732095,17181270260.678596,-4.600991655148217,39751397.529735565,FILLED,37
19,000001,20231207,19,96166.5316666667,6,94200.0,94100.0,93917.4,0.9984084880636604,18086197323.66193,-4.24259433558795,41193895.50473404,FILLED,38
20,000001,20231207,20,86549.87850000004,33,94200.0,94100.0,94152.9,0.9989697612732076,18991633107.59778,-3.651057137154779,42127672.52722168,FILLED,39
21,000001,20231207,21,76933.22533333336,0,94200.0,94100.0,93729.0,0.9984084880636604,19896560170.581112,-3.3684202338292804,43570170.502220154,FILLED,40
22,000001,20231207,22,67316.5721666667,6,94200.0,94100.0,93917.4,0.9984084880636607,20801487233.564445,-3.110360452531348,45012668.47722244,FILLED,41
23,000001,20231207,23,57699.91900000002,6,94200.0,94100.0,93917.4,0.9984084880636607,21706414296.54778,-2.8738056530077283,46455166.45222092,FILLED,42
24,000001,20231207,24,48083.26583333335,12,94200.0,94100.0,94011.6,0.9984084880636607,22611341359.531113,-2.6561752374457512,47897664.42721939,FILLED,43
25,000001,20231207,25,38466.61266666668,24,94200.0,94100.0,94124.64,0.998669920424403,23516505376.848473,-2.3547347151042537,49103208.06819534,FILLED,44
26,000001,20231207,26,28849.959500000015,24,94200.0,94100.0,94124.64,0.998669920424403,24421669394.165833,-2.0756231203418354,50308751.70916748,FILLED,45
27,000001,20231207,27,19233.30633333335,33,94200.0,94100.0,94152.9,0.9989697612732076,25327105178.10168,-1.7093620506323384,51242528.731651306,FILLED,46
28,000001,20231207,28,9616.653166666681,33,94100.0,94000.0,94052.95,0.9989697612732076,26232540962.03753,-1.3683603650430805,52176305.75413895,FILLED,47
29,000001,20231207,29,0.0,40,94100.0,94000.0,94071.77,0.8971474801061003,27136325085.792004,-1.657519180860941,54761742.95800018,FILLED,47
0,000001,20231207,0,278882.94183333335,21,94500.0,94400.0,94414.95,0.9996283447911158,908916627.7160567,5.15398918474513,337929.19227838516,FILLED,154
1,000001,20231207,1,269266.28866666666,21,94500.0,94400.0,94414.95,0.9985716552088836,1816872455.6142316,-0.1294587264147118,1636658.202438593,FILLED,155
2,000001,20231207,2,259649.6355,21,94500.0,94400.0,94414.95,0.9985716552088839,2724828283.5124063,-1.8906080301238852,2935387.2125959396,FILLED,156
