,code,date,step,quantity,action,ask_price,bid_price,order_price,reward,cash,BP,IS,status,index
0,000001,20231207,0,278882.94183333335,21,94400.0,94300.0,94315.04,0.9996294647588764,906995028.0802933,-29.005795169001562,336198.19470846653,FILLED,117
1,000001,20231207,1,269266.28866666666,6,94500.0,94400.0,94216.5,0.9994700582935871,1813845421.69696,-29.802827495446085,817030.8530435562,FILLED,118
2,000001,20231207,2,259649.6355,21,94500.0,94400.0,94414.95,1.0006883942766294,2721801249.5951347,-26.007384994112225,192429.22986793518,FILLED,119
3,000001,20231207,3,250032.98233333335,3,94500.0,94400.0,94122.0,1.0005299417064122,3629613308.528468,-24.50579516898725,-288403.4284667969,FILLED,120
4,000001,20231207,4,240416.3291666667,21,94500.0,94400.0,94414.95,1.0006883942766298,4537569136.426643,-23.287936133476542,-913005.0516433716,FILLED,121
5,000001,20231207,5,230799.67600000004,84,94700.0,94600.0,94889.4,1.003593004769475,5448160408.125143,-17.6350126217292,-4173050.4751434326,FILLED,122
6,000001,20231207,6,230799.67600000004,86,94700.0,94600.0,94889.4,-0.1000000000000002,5448160408.125143,-17.6350126217292,-4173050.4751434326,NOT_FILLED,123
7,000001,20231207,7,230799.67600000004,86,94600.0,94500.0,94789.2,-0.2000000000000001,5448160408.125143,-17.6350126217292,-4173050.4751434326,NOT_FILLED,124
8,000001,20231207,8,230799.67600000004,86,94500.0,94400.0,94689.0,-0.3,5448160408.125143,-17.6350126217292,-4173050.4751434326,NOT_FILLED,125
9,000001,20231207,9,201949.71650000004,77,94600.0,94500.0,94685.14,2.9074737678855325,8176935269.930618,-11.885969460919704,-10954233.455618858,FILLED,126
10,000001,20231207,10,173099.75700000004,44,94600.0,94500.0,94581.08,2.9073475357710636,10905595597.396877,-9.116641309240139,-17620882.09687805,FILLED,127
11,000001,20231207,11,173099.75700000004,63,94600.0,94500.0,94647.3,0.0,10905595597.396877,-9.116641309240139,-17620882.09687805,NOT_FILLED,128
12,000001,20231207,12,163483.10383333339,3,94600.0,94500.0,94221.6,1.0005850483736938,11813457656.330212,-9.911511902436791,-18151714.755212784,FILLED,129
13,000001,20231207,13,153866.45066666673,72,94700.0,94600.0,94775.76,1.0034518282988873,12723920834.208532,-8.545129607180437,-21283666.358535767,FILLED,130
14,000001,20231207,14,144249.79750000007,6,94600.0,94500.0,94316.2,1.0026497085320616,13633656223.7752,-7.895678129176342,-23687829.650203705,FILLED,131
15,000001,20231207,15,134633.14433333342,21,94700.0,94600.0,94614.77,1.0017473237943821,14542572851.491257,-7.891398546972327,-25273231.09126091,FILLED,132
16,000001,20231207,16,125016.49116666675,3,94700.0,94600.0,94321.2,1.0026497085320616,15452308241.057924,-7.356807893452361,-27677394.38292694,FILLED,133
