,code,date,step,quantity,action,ask_price,bid_price,order_price,reward,cash,BP,IS,status,index
0,000001,20231207,0,288499.59500000003,84,94600.0,94500.0,94789.2,-0.1000000000000002,0.0,0.0,0.0,NOT_FILLED,124
1,000001,20231207,1,288499.59500000003,86,94500.0,94400.0,94689.0,-0.1999999999999998,0.0,0.0,0.0,NOT_FILLED,125
2,000001,20231207,2,278882.94183333335,48,94600.0,94500.0,94600.0,0.7984152139461171,908773724.25,-11.417275872076598,1442497.9750016928,FILLED,126
3,000001,20231207,3,259649.6355,31,94600.0,94500.0,94543.24,1.8977441098785,2727152820.9158535,-8.371669251182533,3495845.7591490746,FILLED,127
4,000001,20231207,4,240416.32916666666,31,94600.0,94500.0,94543.24,1.9977441098784996,4545531917.581707,-7.762547927003105,5549193.54329586,FILLED,128
5,000001,20231207,5,230799.676,45,94600.0,94500.0,94590.54,0.9993717908082406,5455176333.609417,-6.777374480972268,6120999.740585327,FILLED,129
6,000001,20231207,6,221183.02283333335,54,94700.0,94600.0,94718.94,0.9996716323296354,6365093670.253997,-5.645334131813254,6419885.321003914,FILLED,130
7,000001,20231207,7,211566.3696666667,45,94600.0,94500.0,94590.54,1.0004282091917591,7275699655.431842,-3.8505827922911995,6030122.36815834,FILLED,131
8,000001,20231207,8,201949.71650000004,54,94700.0,94600.0,94718.94,0.9996716323296354,8185616992.076422,-3.295306041687299,6329007.948577881,FILLED,132
9,000001,20231207,9,192333.06333333338,45,94700.0,94600.0,94690.53,1.000428209191759,9096222977.254267,-2.094507779081943,5939244.995731354,FILLED,133
10,000001,20231207,10,182716.41016666673,39,94700.0,94600.0,94671.59,1.0002281035393554,10006646823.021135,-1.2939507027707795,5731621.453861237,FILLED,134
11,000001,20231207,11,173099.75700000007,45,94700.0,94600.0,94690.53,1.000428209191759,10917252808.19898,-0.46006509550923125,5341858.501016617,FILLED,135
12,000001,20231207,12,163483.1038333334,45,94700.0,94600.0,94690.53,1.0004282091917582,11827858793.376825,0.24553041832781816,4952095.54817009,FILLED,136
13,000001,20231207,13,153866.45066666676,39,94600.0,94500.0,94571.62,1.0002281035393548,12738282639.143694,0.7073939641862217,4744472.0062999725,FILLED,137
14,000001,20231207,14,144249.7975000001,45,94700.0,94600.0,94690.53,0.99937179080824,13647927055.171404,0.5368005498517816,5316278.203588486,FILLED,138
15,000001,20231207,15,134633.14433333345,45,94700.0,94600.0,94690.53,1.0004282091917582,14558533040.349249,1.0477928020100897,4926515.250743866,FILLED,139
16,000001,20231207,16,125016.49116666678,36,94700.0,94600.0,94662.12,1.000128050713153,15468865816.41063,1.3221045076750895,4809961.414361954,FILLED,140
17,000001,20231207,17,115399.8380000001,36,94700.0,94600.0,94662.12,1.0001280507131531,16379198592.47201,1.5659371349320128,4693407.577983856,FILLED,141
18,000001,20231207,18,105783.18483333343,18,94800.0,94700.0,94705.2,0.9995277337559433,17288984950.30046,1.4681468765768289,5123271.974533081,FILLED,142
19,000001,20231207,19,96166.53166666676,45,94800.0,94700.0,94790.52,1.0014846275752765,18200552504.62844,2.358582553725748,3771939.8715515137,FILLED,143
20,000001,20231207,20,86549.8785000001,36,94800.0,94700.0,94762.08,1.0011841521394624,19111846561.340363,3.0211312921865483,2694105.384628296,FILLED,144
21,000001,20231207,21,76933.22533333342,45,94800.0,94700.0,94790.52,1.0014846275752765,20023414115.668343,3.760028070702188,1342773.2816505432,FILLED,145
