,code,date,step,quantity,action,ask_price,bid_price,order_price,reward,cash,BP,IS,status,index
0,000001,20231207,0,278882.94183333335,30,94700.0,94600.0,94643.18,0.99992794506075,910150636.6504033,5.754920505066572,65585.57459843159,FILLED,203
1,000001,20231207,1,278882.94183333335,63,94700.0,94600.0,94747.35,-0.09999999999999959,910150636.6504033,5.754920505066572,65585.57459843159,NOT_FILLED,204
2,000001,20231207,2,259649.6355,4,94800.0,94700.0,94420.8,1.9989434759640783,2729621415.7837367,2.7135399803385796,1027250.8912658691,FILLED,205
3,000001,20231207,3,259649.6355,63,94800.0,94700.0,94847.4,-0.0999999999999999,2729621415.7837367,2.7135399803385796,1027250.8912658691,NOT_FILLED,206
4,000001,20231207,4,240416.32916666666,4,94800.0,94700.0,94420.8,2.0010565240359215,4551015525.550404,6.331360019079942,65585.57459926605,FILLED,207
5,000001,20231207,5,240416.32916666666,63,94700.0,94600.0,94747.35,-0.09999999999999959,4551015525.550404,6.331360019079942,65585.57459926605,NOT_FILLED,208
6,000001,20231207,6,221183.02283333332,16,94700.0,94600.0,94557.95,1.9989434759640776,6370486304.683737,4.863214218763686,1027250.8912668228,FILLED,209
7,000001,20231207,7,211566.36966666667,27,94700.0,94600.0,94633.71,0.9998278922345477,7280545871.628652,4.849611471802362,1183906.1713514328,FILLED,210
8,000001,20231207,8,201949.7165,15,94700.0,94600.0,94557.95,0.9994717379820386,8190281261.195318,4.443304610266882,1664738.8296833038,FILLED,211
9,000001,20231207,9,192333.06333333335,12,94700.0,94600.0,94510.6,0.99947173798204,9100016650.761986,4.11825912104065,2145571.4880161285,FILLED,212
10,000001,20231207,10,182716.4101666667,12,94700.0,94600.0,94510.6,0.99947173798204,10009752040.328653,3.852312811672475,2626404.146347046,FILLED,213
11,000001,20231207,11,182716.4101666667,63,94600.0,94500.0,94647.3,-0.0999999999999999,10009752040.328653,3.852312811672475,2626404.146347046,NOT_FILLED,214
12,000001,20231207,12,163483.10383333336,22,94600.0,94500.0,94514.86,1.9971444268357104,11827585295.760767,2.059280698513772,5225593.164234161,FILLED,215
13,000001,20231207,13,153866.4506666667,9,94600.0,94500.0,94363.5,0.9984152139461169,12736359020.010767,1.2427327456752235,6668091.1392326355,FILLED,216
14,000001,20231207,14,144249.79750000004,45,94600.0,94500.0,94590.54,0.9993717908082406,13646003436.038477,1.1727757612972043,7239897.336521149,FILLED,217
15,000001,20231207,15,134633.1443333334,45,94600.0,94500.0,94590.54,0.9993717908082406,14555647852.066187,1.111563399965861,7811703.533811569,FILLED,218
16,000001,20231207,16,125016.49116666672,12,94600.0,94500.0,94410.8,0.9984152139461168,15464421576.316187,0.49486022107231803,9254201.508810043,FILLED,219
