,code,date,step,quantity,action,ask_price,bid_price,order_price,reward,cash,BP,IS,status,index
0,000001,20231207,0,278882.94183333335,39,94700.0,94600.0,94671.59,1.0002281035393554,910423845.7668684,10.119762111665402,-207623.54186666012,FILLED,134
1,000001,20231207,1,269266.28866666666,6,94700.0,94600.0,94415.9,0.9994717379820388,1820159235.3335352,6.337934325083442,273209.11646819115,FILLED,135
2,000001,20231207,2,259649.6355,6,94700.0,94600.0,94415.9,0.9994717379820389,2729894624.900202,5.077325062899704,754041.7748007774,FILLED,136
3,000001,20231207,3,250032.98233333335,39,94600.0,94500.0,94571.62,1.0002281035393557,3640318470.6670704,6.337934325098815,546418.2329311371,FILLED,137
4,000001,20231207,4,240416.3291666667,6,94700.0,94600.0,94415.9,0.9984152139461172,4549092194.91707,3.468520695941864,1988916.2079305649,FILLED,138
5,000001,20231207,5,230799.67600000004,21,94700.0,94600.0,94614.77,0.9996277865821448,5458969622.451009,3.5765326698833406,2327710.898990631,FILLED,139
6,000001,20231207,6,221183.02283333338,39,94700.0,94600.0,94671.59,1.0002281035393554,6369393468.217877,4.511279733000115,2120087.3571214676,FILLED,140
7,000001,20231207,7,211566.36966666672,6,94700.0,94600.0,94415.9,0.9994717379820386,7279128857.784544,4.266883083691438,2600920.0154533386,FILLED,141
8,000001,20231207,8,201949.71650000007,6,94800.0,94700.0,94515.6,0.9994717379820386,8188864247.351211,4.076796800895457,3081752.6737861633,FILLED,142
9,000001,20231207,9,192333.0633333334,6,94800.0,94700.0,94515.6,1.0005282620179612,9099561302.234545,4.981251810580798,2600920.0154514313,FILLED,143
10,000001,20231207,10,182716.41016666676,6,94800.0,94700.0,94515.6,1.00052826201796,10010258357.117878,5.721260454869503,2120087.357116699,FILLED,144
11,000001,20231207,11,173099.7570000001,39,94800.0,94700.0,94771.56,1.0012843106180664,10921643579.701818,6.967974825197602,951086.9981746674,FILLED,145
12,000001,20231207,12,163483.10383333344,42,94700.0,94600.0,94681.06,1.00138446909667,11833119968.157778,8.099931968248802,-309079.2327861786,FILLED,146
13,000001,20231207,13,153866.4506666668,42,94600.0,94500.0,94581.08,1.0003281563655564,12743634883.630135,8.315671854353585,-607772.4801425934,FILLED,147
14,000001,20231207,14,144249.79750000013,27,94600.0,94500.0,94533.78,0.9987721077654506,13652733458.424105,7.465280688906996,509874.9508857727,FILLED,148
15,000001,20231207,15,134633.14433333348,39,94600.0,94500.0,94571.62,0.9991718964606432,14562195927.373901,6.971056353636526,1263628.2260875702,FILLED,149
16,000001,20231207,16,125016.4911666668,30,94600.0,94500.0,94543.24,0.9988720549392497,15471385475.70683,6.3585986922825555,2290302.118162155,FILLED,150
17,000001,20231207,17,115399.83800000013,36,94600.0,94500.0,94562.16,0.999071949286844,16380756971.117668,5.925244297521379,3135028.9323215485,FILLED,151
18,000001,20231207,18,105783.18483333346,36,94500.0,94400.0,94462.2,0.999071949286844,17290128466.528507,5.537506154841621,3979755.746482849,FILLED,152
19,000001,20231207,19,96166.5316666668,24,94600.0,94500.0,94524.32,0.9976164817749583,18198175171.799107,4.4608080704849975,6149272.700885773,FILLED,153
20,000001,20231207,20,86549.87850000012,36,94500.0,94400.0,94462.2,0.9990719492868441,19107546667.209946,4.179732428393617,6993999.515045166,FILLED,154
21,000001,20231207,21,76933.22533333345,36,94500.0,94400.0,94462.2,0.9980158478605372,20015956881.970245,3.4441630145353086,8800006.979747772,FILLED,155
22,000001,20231207,22,67316.57216666678,36,94500.0,94400.0,94462.2,0.9980158478605373,20924367096.730545,2.772556158404478,10606014.444446564,FILLED,156
23,000001,20231207,23,57699.91900000011,36,94500.0,94400.0,94462.2,0.9980158478605373,21832777311.490845,2.156916540283653,12412021.90914917,FILLED,157
24,000001,20231207,24,48083.26583333344,36,94500.0,94400.0,94462.2,0.9980158478605373,22741187526.251144,1.5905280916112645,14218029.373847961,FILLED,158
25,000001,20231207,25,38466.61266666677,36,94500.0,94400.0,94462.2,0.9980158478605373,23649597741.011444,1.0677079851472822,16024036.838550568,FILLED,159
26,000001,20231207,26,28849.959500000103,36,94600.0,94500.0,94562.16,0.9980158478605374,24558007955.771744,0.5836152939753911,17830044.30324936,FILLED,160
27,000001,20231207,27,19233.306333333436,36,94600.0,94500.0,94562.16,0.9990719492868441,25467379451.182583,0.5112797329969787,18674771.117412567,FILLED,161
28,000001,20231207,28,9616.653166666769,27,94500.0,94400.0,94433.85,0.9987721077654487,26376478025.97655,0.34053920332735477,19792418.54844284,FILLED,162
29,000001,20231207,29,0.0,70,94500.0,94400.0,94566.15,0.8971586899102083,27284108041.66545,-0.35662457611172216,22378625.084552765,FILLED,162
0,000001,20231207,0,278882.94183333335,24,94600.0,94500.0,94524.32,0.999728397673189,909007601.2550135,18.095631258405714,246955.6533216238,FILLED,71
1,000001,20231207,1,269266.28866666666,39,94500.0,94400.0,94471.65,1.000228662083553,1818470070.2048101,20.596953310229534,39043.61186003685,FILLED,72
2,000001,20231207,2,259649.6355,39,94500.0,94400.0,94471.65,0.999171337916446,2726971162.337535,17.906313437155493,792508.3874673843,FILLED,73
3,000001,20231207,3,250032.98233333335,39,94500.0,94400.0,94471.65,0.999171337916446,3635472254.4702597,16.560993500618476,1545973.1630749702,FILLED,74
4,000001,20231207,4,240416.3291666667,39,94500.0,94400.0,94471.65,0.999171337916446,4543973346.602984,15.75380153869688,2299437.938682556,FILLED,75
5,000001,20231207,5,230799.67600000004,21,94400.0,94300.0,94315.04,0.9985716552088845,5451929174.50116,14.216202384811538,3598166.9488401413,FILLED,76
6,000001,20231207,6,221183.02283333338,51,94400.0,94300.0,94409.44,0.9985133791644633,6359832014.640387,13.034665782864257,4949883.717945099,FILLED,77
7,000001,20231207,7,211566.36966666672,42,94400.0,94300.0,94381.12,0.9982138551031193,7267462511.161933,11.774108254725085,6573944.10473156,FILLED,78
8,000001,20231207,8,201949.71650000007,27,94400.0,94300.0,94333.92,0.997714648334214,8174639101.654013,10.239000434054015,8651910.520983696,FILLED,79
9,000001,20231207,9,192333.0633333334,42,94400.0,94300.0,94381.12,0.9982138551031202,9082269598.17556,9.510120946423855,10275970.90776825,FILLED,80
10,000001,20231207,10,182716.41016666676,27,94400.0,94300.0,94333.92,0.9977146483342149,9989446188.66764,8.459940666631976,12353937.324020386,FILLED,81
11,000001,20231207,11,173099.7570000001,27,94400.0,94300.0,94333.92,0.9977146483342149,10896622779.159721,7.584790433471048,14431903.740272522,FILLED,82
12,000001,20231207,12,163483.10383333344,42,94400.0,94300.0,94381.12,0.9982138551031196,11804253275.681269,7.228283904569377,16055964.12705803,FILLED,83
13,000001,20231207,13,153866.4506666668,42,94300.0,94200.0,94281.14,0.9982138551031196,12711883772.202816,6.922706879796298,17680024.51384163,FILLED,84
14,000001,20231207,14,144249.79750000013,36,94300.0,94200.0,94262.28,0.9969569539925962,13618371425.662037,5.819939384645401,20446927.962953568,FILLED,85
15,000001,20231207,15,134633.14433333348,69,94300.0,94200.0,94366.01,0.9980540454785817,14525856614.554235,5.540700005127919,22216295.97908783,FILLED,86
16,000001,20231207,16,125016.4911666668,42,94300.0,94200.0,94281.14,0.9971564251718649,15432525638.092178,4.766300372190336,24801829.349479675,FILLED,87
17,000001,20231207,17,115399.83800000013,60,94300.0,94200.0,94337.72,0.9977548387096754,16339738771.866291,4.410397108363644,26843252.4836998,FILLED,88
