,code,date,step,quantity,action,ask_price,bid_price,order_price,reward,cash,BP,IS,status,index
0,000001,20231207,0,278882.94183333335,24,94100.0,94000.0,94024.72,0.9997312068048909,904203121.3329467,-10.233678036754153,243108.99205505848,FILLED,31
1,000001,20231207,1,269266.28866666666,9,94100.0,94000.0,93864.75,0.9994683678894198,1808168518.9996133,-11.547872614106687,723941.6503901482,FILLED,32
2,000001,20231207,2,259649.6355,15,94100.0,94000.0,93958.85,0.9994683678894204,2712133916.66628,-11.985937473214399,1204774.308722496,FILLED,33
3,000001,20231207,3,250032.98233333335,45,94100.0,94000.0,94090.59,1.0004315789473681,3616970486.9433146,-9.796942257897827,814434.3566870689,FILLED,34
4,000001,20231207,4,240416.3291666667,15,94100.0,94000.0,93958.85,0.9994683678894207,4520935884.609982,-10.409967244603296,1295267.0150184631,FILLED,35
5,000001,20231207,5,230799.67600000004,24,94200.0,94100.0,94124.64,0.9997312068048911,5425139005.942928,-10.380585709956101,1538376.007071495,FILLED,36
6,000001,20231207,6,221183.02283333338,42,94200.0,94100.0,94181.16,1.0013945773524724,6330846556.497269,-7.983355260092246,277055.7777299881,FILLED,37
7,000001,20231207,7,211566.36966666672,15,94200.0,94100.0,94058.7,1.0005316321105795,7235773619.480602,-7.26411397506094,-203776.88060474396,FILLED,38
8,000001,20231207,8,201949.71650000007,12,94200.0,94100.0,94011.6,1.0005316321105795,8140700682.463936,-6.704704086702568,-684609.538939476,FILLED,39
9,000001,20231207,9,192333.0633333334,12,94200.0,94100.0,94011.6,1.000531632110579,9045627745.44727,-6.257176176014944,-1165442.1972732544,FILLED,40
10,000001,20231207,10,182716.41016666676,3,94200.0,94100.0,93823.2,1.000531632110579,9950554808.430603,-5.891016976363401,-1646274.8556079865,FILLED,41
11,000001,20231207,11,173099.7570000001,12,94200.0,94100.0,94011.6,1.000531632110579,10855481871.413937,-5.585884309985827,-2127107.5139427185,FILLED,42
12,000001,20231207,12,163483.10383333344,3,94200.0,94100.0,93823.2,1.0005316321105786,11760408934.39727,-5.3276951307433835,-2607940.1722774506,FILLED,43
13,000001,20231207,13,153866.4506666668,3,94200.0,94100.0,93823.2,1.0005316321105786,12665335997.380604,-5.106390119963925,-3088772.8306121826,FILLED,44
14,000001,20231207,14,144249.79750000013,3,94200.0,94100.0,93823.2,1.0005316321105786,13570263060.363937,-4.914592443955164,-3569605.4889469147,FILLED,45
15,000001,20231207,15,134633.14433333348,3,94200.0,94100.0,93823.2,1.0005316321105786,14475190123.347271,-4.746769477448271,-4050438.1472816467,FILLED,46
16,000001,20231207,16,125016.4911666668,3,94100.0,94000.0,93723.6,1.0005316321105784,15380117186.330605,-4.598690389354682,-4531270.805612564,FILLED,47
17,000001,20231207,17,115399.83800000013,12,94100.0,94000.0,93911.8,0.9994683678894186,16284082583.99727,-5.057766878359631,-4050438.1472797394,FILLED,48
18,000001,20231207,18,105783.18483333346,9,94100.0,94000.0,93864.75,0.9994683678894186,17188047981.663937,-5.4685195264153865,-3569605.488948822,FILLED,49
19,000001,20231207,19,96166.5316666668,12,94100.0,94000.0,93911.8,0.9994683678894207,18092013379.330605,-5.8381969096675785,-3088772.8306121826,FILLED,50
20,000001,20231207,20,86549.87850000012,45,94100.0,94000.0,94090.59,1.000431578947367,18996849949.60764,-5.713994990729956,-3479112.782646179,FILLED,51
21,000001,20231207,21,76933.22533333345,36,94100.0,94000.0,94062.36,1.0001314194577322,19901415041.765778,-5.737520286983329,-3597974.615787506,FILLED,52
22,000001,20231207,22,67316.57216666678,12,94100.0,94000.0,93911.8,0.9994683678894208,20805380439.432446,-6.0472831958721045,-3117141.9574546814,FILLED,53
23,000001,20231207,23,57699.91900000011,12,94200.0,94100.0,94011.6,0.9994683678894208,21709345837.099113,-6.331232529020794,-2636309.2991218567,FILLED,54
24,000001,20231207,24,48083.26583333344,3,94100.0,94000.0,93723.6,1.0005316321105786,22614272900.082447,-6.167160227054254,-3117141.9574546814,FILLED,55
25,000001,20231207,25,38466.61266666677,3,94200.0,94100.0,93823.2,0.9994683678894208,23518238297.749115,-6.424656648761066,-2636309.2991218567,FILLED,56
26,000001,20231207,26,28849.959500000103,36,94400.0,94300.0,94362.24,1.0011942583732063,24423764670.557796,-6.023860563753556,-3716451.782802582,FILLED,57
27,000001,20231207,27,19233.306333333436,3,94300.0,94200.0,93922.8,1.0026581605528941,25330615064.17446,-5.128870563500695,-6120615.074466705,FILLED,58
28,000001,20231207,28,9616.653166666769,36,94300.0,94200.0,94262.28,1.0022570972886762,26237102717.633682,-4.433901688858994,-8162038.208686829,FILLED,59
29,000001,20231207,29,0.0,36,94300.0,94200.0,94262.28,0.9013948963317481,27142810556.687626,-4.072664391505271,-9423646.93762207,FILLED,59
0,000001,20231207,0,278882.94183333335,12,94400.0,94300.0,94211.2,0.9994700582935877,906850393.6166667,-22.73620869448142,480832.6583350897,FILLED,109
1,000001,20231207,1,269266.28866666666,12,94400.0,94300.0,94211.2,0.9994700582935871,1813700787.2333333,-22.73620869448142,961665.3166701794,FILLED,110
