,code,date,step,quantity,action,ask_price,bid_price,order_price,reward,cash,BP,IS,status,index
0,000001,20231207,0,2788.8285,0,9.45,9.44,9.4,0.9994711792702273,908.773425,16.205796557566714,0.48083249999831423,FILLED,72
1,000001,20231207,1,2692.6620000000003,0,9.45,9.44,9.4,0.9984135378106818,1816.585185,10.917589259839817,1.9233299999966675,FILLED,73
2,000001,20231207,2,2596.4955000000004,0,9.45,9.44,9.4,0.9984135378106812,2724.396945,9.154853493930851,3.3658274999947935,FILLED,74
3,000001,20231207,3,2500.3290000000006,0,9.45,9.44,9.4,0.9984135378106812,3632.208705,8.273485610977307,4.808324999993147,FILLED,75
4,000001,20231207,4,2404.162500000001,0,9.44,9.43,9.39,0.9984135378106808,4540.020465,7.744664881204055,6.250822499991955,FILLED,76
5,000001,20231207,5,2307.996000000001,0,9.44,9.43,9.39,0.9973558963511358,5446.870559999999,5.62938196211292,8.65498499999012,FILLED,77
6,000001,20231207,6,2211.829500000001,0,9.44,9.43,9.39,0.9973558963511353,6353.720654999999,4.118465591334612,11.059147499988285,FILLED,78
7,000001,20231207,7,2115.6630000000014,0,9.44,9.43,9.39,0.9973558963511353,7260.570749999999,2.9852783132485317,13.46330999998736,FILLED,79
8,000001,20231207,8,2019.4965000000013,0,9.44,9.43,9.39,0.9973558963511353,8167.420844999999,2.1039104302931095,15.867472499987343,FILLED,80
9,000001,20231207,9,1923.3300000000013,0,9.44,9.43,9.39,0.9973558963511351,9074.270939999999,1.3988161239268928,18.271634999988237,FILLED,81
10,000001,20231207,10,1827.1635000000012,0,9.44,9.43,9.39,0.9973558963511353,9981.121034999998,0.8219207823550463,20.67579749998913,FILLED,82
11,000001,20231207,11,1730.9970000000012,0,9.44,9.43,9.39,0.9973558963511353,10887.971129999998,0.34117466437850735,23.079959999990024,FILLED,83
12,000001,20231207,12,1634.8305000000012,0,9.43,9.42,9.38,0.9973558963511355,11794.821224999998,-0.06561051237087166,25.484122499990917,FILLED,84
13,000001,20231207,13,1538.6640000000011,0,9.43,9.42,9.38,0.9962982548915915,12700.709654999999,-1.1697417064016797,28.849949999988894,FILLED,85
14,000001,20231207,14,1442.497500000001,0,9.43,9.42,9.38,0.9962982548915894,13606.598084999998,-2.126655407896675,32.21577749999051,FILLED,86
15,000001,20231207,15,1346.331000000001,0,9.43,9.42,9.38,0.9962982548915894,14512.486514999997,-2.963954896704796,35.58160499999212,FILLED,87
16,000001,20231207,16,1250.164500000001,0,9.43,9.42,9.38,0.9962982548915894,15418.374944999996,-3.7027485633000863,38.94743249999374,FILLED,88
17,000001,20231207,17,1153.998000000001,0,9.43,9.42,9.38,0.9962982548915896,16324.263374999995,-4.359454044717705,42.31325999999535,FILLED,89
18,000001,20231207,18,1057.831500000001,0,9.43,9.42,9.38,0.9962982548915896,17230.151804999994,-4.947032633355905,45.67908749999697,FILLED,90
19,000001,20231207,19,961.6650000000009,0,9.44,9.43,9.39,0.9962982548915895,18136.040234999993,-5.475853363129159,49.04491499999858,FILLED,91
20,000001,20231207,20,865.4985000000008,0,9.43,9.42,9.38,0.9973558963511377,19042.890329999995,-5.450671423615341,51.44907749999766,FILLED,92
21,000001,20231207,21,769.3320000000008,0,9.44,9.43,9.39,0.9962982548915899,19948.778759999994,-5.9085248693071035,54.81490499999927,FILLED,93
22,000001,20231207,22,673.1655000000007,0,9.45,9.44,9.4,0.997355896351138,20855.628854999995,-5.866720859046968,57.21906749999471,FILLED,94
23,000001,20231207,23,576.9990000000007,0,9.44,9.43,9.39,0.9984135378106821,21763.440614999996,-5.387716574832677,58.66156499999488,FILLED,95
24,000001,20231207,24,480.8325000000007,0,9.44,9.43,9.39,0.997355896351138,22670.290709999997,-5.370089217173005,61.065727499993955,FILLED,96
25,000001,20231207,25,384.66600000000074,0,9.44,9.43,9.39,0.997355896351138,23577.140805,-5.353817810103405,63.46988999999303,FILLED,97
26,000001,20231207,26,288.49950000000075,0,9.44,9.43,9.39,0.997355896351138,24483.9909,-5.3387516924436555,65.8740524999921,FILLED,98
27,000001,20231207,27,192.33300000000077,0,9.44,9.43,9.39,0.997355896351138,25390.840995000002,-5.324761726048134,68.27821499999118,FILLED,99
28,000001,20231207,28,96.16650000000077,0,9.44,9.43,9.39,0.997355896351138,26297.691090000004,-5.311736584920297,70.68237749998661,FILLED,100
29,000001,20231207,29,0.0,0,9.44,9.43,9.39,0.897155896351144,27204.35933414851,-5.3662464532010015,73.26839085148822,FILLED,100
0,000001,20231207,0,2788.8285,0,9.45,9.44,9.4,0.9994711792702273,908.773425,-4.264683304593254,0.48083249999831423,FILLED,182
1,000001,20231207,1,2692.6620000000003,0,9.44,9.43,9.39,0.9984135378106818,1816.585185,-9.55289060232015,1.9233299999966675,FILLED,183
2,000001,20231207,2,2596.4955000000004,0,9.44,9.43,9.39,0.9973558963511358,2723.4352799999997,-14.841097900047048,4.32749249999506,FILLED,184
3,000001,20231207,3,2500.3290000000006,0,9.44,9.43,9.39,0.9973558963511358,3630.2853749999995,-17.485201548911437,6.73165499999368,FILLED,185
4,000001,20231207,4,2404.162500000001,0,9.44,9.43,9.39,0.9973558963511358,4537.135469999999,-19.07166373822932,9.1358174999923,FILLED,186
5,000001,20231207,5,2307.996000000001,0,9.45,9.44,9.4,0.9973558963511358,5443.985564999999,-20.12930519777395,11.539979999990464,FILLED,187
6,000001,20231207,6,2211.829500000001,0,9.45,9.44,9.4,0.9984135378106803,6351.797324999999,-19.37384701238573,12.982477499988818,FILLED,188
7,000001,20231207,7,2115.6630000000014,0,9.45,9.44,9.4,0.9984135378106803,7259.609084999998,-18.80725337334363,14.42497499998808,FILLED,189
8,000001,20231207,8,2019.4965000000013,0,9.45,9.44,9.4,0.9984135378106803,8167.420844999998,-18.366569431868736,15.867472499988253,FILLED,190
9,000001,20231207,9,1923.3300000000013,0,9.45,9.44,9.4,0.9984135378106801,9075.232604999997,-18.014022278688447,17.309969999989335,FILLED,191
10,000001,20231207,10,1827.1635000000012,0,9.45,9.44,9.4,0.9984135378106813,9983.044364999998,-17.725574607904406,18.752467499989507,FILLED,192
11,000001,20231207,11,1730.9970000000012,0,9.45,9.44,9.4,0.9984135378106813,10890.856124999998,-17.48520154891895,20.19496499998968,FILLED,193
12,000001,20231207,12,1634.8305000000012,0,9.46,9.45,9.41,0.9984135378106815,11798.667884999999,-17.281808960545202,21.63746249998985,FILLED,194
13,000001,20231207,13,1538.6640000000011,0,9.46,9.45,9.41,0.9994711792702256,12707.441309999998,-16.35201427083663,22.118294999989303,FILLED,195
14,000001,20231207,14,1442.497500000001,0,9.46,9.45,9.41,0.9994711792702256,13616.214734999998,-15.546192206422658,22.599127499990573,FILLED,196
15,000001,20231207,15,1346.331000000001,0,9.46,9.45,9.41,0.9994711792702256,14524.988159999997,-14.8410979000602,23.079959999991843,FILLED,197
16,000001,20231207,16,1250.164500000001,0,9.46,9.45,9.41,0.9994711792702256,15433.761584999997,-14.218955865034168,23.560792499993113,FILLED,198
17,000001,20231207,17,1153.998000000001,0,9.46,9.45,9.41,0.9994711792702258,16342.535009999996,-13.665940722789435,24.041624999994383,FILLED,199
18,000001,20231207,18,1057.831500000001,0,9.46,9.45,9.41,0.9994711792702258,17251.308434999995,-13.171137700780791,24.522457499995653,FILLED,200
19,000001,20231207,19,961.6650000000009,0,9.46,9.45,9.41,0.9994711792702257,18160.081859999995,-12.725814980972823,25.003289999996923,FILLED,201
20,000001,20231207,20,865.4985000000008,0,9.47,9.46,9.42,0.9994711792702258,19068.855284999994,-12.322903948764898,25.484122499998193,FILLED,202
21,000001,20231207,21,769.3320000000008,0,9.47,9.46,9.42,1.0005288207297698,19978.590374999992,-11.475875074239458,25.00329000000056,FILLED,203
22,000001,20231207,22,673.1655000000007,0,9.47,9.46,9.42,1.0005288207297738,20888.325464999994,-10.702500884451357,24.522457499995653,FILLED,204
23,000001,20231207,23,576.9990000000007,0,9.48,9.47,9.43,1.000528820729774,21798.060554999996,-9.993574543813832,24.041624999994383,FILLED,205
24,000001,20231207,24,480.8325000000007,0,9.48,9.47,9.43,1.0015864621893178,22708.757309999997,-8.918305726609532,22.59912749999421,FILLED,206
25,000001,20231207,25,384.66600000000074,0,9.48,9.47,9.43,1.001586462189318,23619.454064999998,-7.92574989534518,21.15662999999404,FILLED,207
26,000001,20231207,26,288.49950000000075,0,9.47,9.46,9.42,1.001586462189318,24530.15082,-7.006716718245079,19.714132499993866,FILLED,208
27,000001,20231207,27,192.33300000000077,0,9.47,9.46,9.42,1.0005288207297698,25439.885909999997,-6.531057860780443,19.233299999996234,FILLED,209
28,000001,20231207,28,96.16650000000077,0,9.47,9.46,9.42,1.0005288207297738,26349.621,-6.088203062447154,18.752467499991326,FILLED,210
29,000001,20231207,29,0.0,0,9.47,9.46,9.42,0.90032882072978,27259.174239148506,-5.741538584003646,18.453485851492587,FILLED,210
0,000001,20231207,0,2788.8285,0,9.46,9.45,9.41,0.9994706193753307,907.8117599999999,2.219983264758331,0.48083249999831423,FILLED,64
1,000001,20231207,1,2692.6620000000003,0,9.46,9.45,9.41,1.0005293806246687,1816.585185,7.513789511450529,-3.410605131648481e-12,FILLED,65
2,000001,20231207,2,2596.4955000000004,0,9.45,9.44,9.4,1.000529380624668,2725.3586099999998,9.278391593681262,-0.48083250000490807,FILLED,66
3,000001,20231207,3,2500.3290000000006,0,9.45,9.44,9.4,0.9994706193753299,3633.17037,7.513789511450529,-6.821210263296962e-12,FILLED,67
4,000001,20231207,4,2404.162500000001,0,9.45,9.44,9.4,0.9994706193753294,4540.982129999999,6.455028262110961,0.48083249999217514,FILLED,68
5,000001,20231207,5,2307.996000000001,0,9.45,9.44,9.4,0.9994706193753294,5448.793889999999,5.7491874292179155,0.9616649999907168,FILLED,69
6,000001,20231207,6,2211.829500000001,0,9.46,9.45,9.41,0.999470619375329,6356.605649999999,5.245015405723689,1.4424974999892584,FILLED,70
7,000001,20231207,7,2115.6630000000014,0,9.46,9.45,9.41,1.000529380624668,7265.379074999999,6.1903379497770095,0.9616649999870788,FILLED,71
8,000001,20231207,8,2019.4965000000013,0,9.45,9.44,9.4,1.000529380624668,8174.152499999999,6.925588817369857,0.48083249998762767,FILLED,72
9,000001,20231207,9,1923.3300000000013,0,9.45,9.44,9.4,0.9994706193753288,9081.964259999999,6.4550282621072,0.9616649999879883,FILLED,73
10,000001,20231207,10,1827.1635000000012,0,9.45,9.44,9.4,0.99947061937533,9989.77602,6.0700241714375816,1.4424974999874394,FILLED,74
11,000001,20231207,11,1730.9970000000012,0,9.45,9.44,9.4,0.99947061937533,10897.58778,5.749187429212274,1.9233299999887095,FILLED,75
12,000001,20231207,12,1634.8305000000012,0,9.44,9.43,9.39,0.9994706193753302,11805.39954,5.4777101857920165,2.4041624999881606,FILLED,76
