,code,date,step,quantity,action,ask_price,bid_price,order_price,reward,cash,BP,IS,status,index
0,000001,20231207,0,278882.94183333335,30,94800.0,94700.0,94743.12,0.9999273878627968,911111724.96788,25.829330155738667,66162.57378840446,FILLED,145
1,000001,20231207,1,269266.28866666666,30,94700.0,94600.0,94643.18,0.9999273878627962,1822223449.93576,25.829330155738667,132325.14757680893,FILLED,146
2,000001,20231207,2,259649.6355,33,94600.0,94500.0,94552.7,0.9989725593667547,2732465156.2916517,22.6465685022743,1068506.3333506584,FILLED,147
3,000001,20231207,3,250032.98233333335,45,94600.0,94500.0,94590.54,0.9983170448548813,3642109572.3193617,19.416401395859875,2601977.8473062515,FILLED,148
4,000001,20231207,4,240416.3291666667,15,94600.0,94500.0,94458.1,0.9973614775725594,4550883296.569362,15.567166567365405,5006141.138972282,FILLED,149
5,000001,20231207,5,230799.67600000004,15,94600.0,94500.0,94458.1,0.9973614775725594,5459657020.819362,13.001010015036783,7410304.43063736,FILLED,150
6,000001,20231207,6,221183.02283333338,45,94600.0,94500.0,94590.54,0.9983170448548809,6369301436.847072,12.5331371666917,8943775.94459343,FILLED,151
7,000001,20231207,7,211566.36966666672,15,94500.0,94400.0,94358.25,0.9973614775725591,7278075161.097072,10.987773427528102,11347939.23625946,FILLED,152
8,000001,20231207,8,201949.71650000007,45,94600.0,94500.0,94590.54,0.9972617414248017,8186758007.974647,9.675005910672999,13842979.900349617,FILLED,153
9,000001,20231207,9,192333.0633333334,45,94500.0,94400.0,94490.55,0.9983170448548817,9096402424.002357,9.680095327267667,15376451.414304733,FILLED,154
10,000001,20231207,10,182716.41016666676,45,94500.0,94400.0,94490.55,0.9972617414248015,10005085270.879932,8.724892640771715,17871492.078395844,FILLED,155
11,000001,20231207,11,173099.7570000001,45,94500.0,94400.0,94490.55,0.9972617414248015,10913768117.757507,7.928890402026113,20366532.742486954,FILLED,156
12,000001,20231207,12,163483.10383333344,45,94500.0,94400.0,94490.55,0.9972617414248008,11822450964.635082,7.255350046164213,22861573.406576157,FILLED,157
13,000001,20231207,13,153866.4506666668,15,94500.0,94400.0,94358.25,0.9963060686015829,12730263023.568417,5.995406295984705,26227402.014907837,FILLED,158
14,000001,20231207,14,144249.79750000013,45,94500.0,94400.0,94490.55,0.9972617414248008,13638945870.445992,5.540570261306744,28722442.678998947,FILLED,159
15,000001,20231207,15,134633.14433333348,15,94600.0,94500.0,94458.1,0.9963060686015829,14546757929.379326,4.545293216452882,32088271.287330627,FILLED,160
16,000001,20231207,16,125016.4911666668,45,94600.0,94500.0,94590.54,0.9983170448548799,15456402345.407036,4.850034796459893,33621742.801288605,FILLED,161
